ID	Species	DistributionName	Parameter1Name	Parameter1Value	Parameter2Name	Parameter2Value	Parameter3Name	Parameter3Value	Loglikelihood	AIC	Loglikelihood_Empirical	AIC_Empirical	MaxNestSize
1	AmericanAvocet1	Poisson	m	3.623					-77.678	155.356	-3.633	13.266	4
2	AmericanAvocet2	Poisson	m	3.838					-116.430	232.860	-3.782	15.564	5
3	BankSwallow1	Poisson	m	4.965					-107.110	214.220	-8.913	29.825	7
4	Cacklinggoose1	Poisson	m	4.238					-47.497	94.994	-16.438	48.877	9
5	Cacklinggoose2	Poisson	m	3.892					-52.308	104.616	-15.691	45.383	8
6	Cacklinggoose3	Poisson	m	3.979					-47.933	95.866	-13.759	39.517	7
7	Cacklinggoose4	Poisson	m	4.753					-60.194	120.388	-12.899	37.798	7
8	Blackbrant1	Poisson	m	2.541					-15.459	30.918	-7.072	24.144	6
9	Blackbrant2	Poisson	m	3.396					-15.500	31.000	-8.985	29.970	7
10	Blackbrant3	Poisson	m	2.489					-13.999	27.998	-7.709	25.419	6
11	Blackbrant4	Poisson	m	4.067					-16.972	33.944	-6.680	23.361	6
12	Emperorgoose1	Poisson	m	4.862					-12.129	24.258	-5.613	23.226	7
13	Emperorgoose2	Poisson	m	4.133					-11.750	23.500	-6.091	24.182	7
14	Emperorgoose3	Poisson	m	4.542					-14.369	28.738	-5.327	20.654	6
15	Whitefrontedgoose1	Poisson	m	4.491					-13.838	27.676	-6.894	25.789	7
16	Whitefrontedgoose2	Poisson	m	5.277					-13.775	27.550	-6.554	27.108	8
17	SpectacledEider1	Poisson	m	3.834					-16.292	32.584	-6.714	23.429	6
18	SpectacledEider2	Poisson	m	4.610					-31.688	63.376	-9.588	33.176	8
19	SpectacledEider3	Poisson	m	4.317					-19.531	39.062	-7.351	26.701	7
20	SpectacledEider4	Poisson	m	4.621					-19.113	38.226	-8.426	28.851	7
21	CaspianTern5	Poisson	m	2.059					-101.170	202.340	-5.329	14.659	3
22	CaspianTern6	Poisson	m	1.877					-16.942	33.884	-3.520	11.039	3
23	CaspianTern7	Poisson	m	2.079					-79.157	158.314	-5.034	14.068	3
24	CaspianTern8	Poisson	m	1.831					-34.827	69.654	-4.285	12.571	3
25	CaspianTern9	Poisson	m	1.226					-111.600	223.200	-4.883	13.766	3
26	CaspianTern10	Poisson	m	1.536					-306.130	612.260	-6.022	16.044	3
27	CaspianTern11	Poisson	m	1.547					-242.040	484.080	-5.900	15.801	3
28	CaspianTern12	Poisson	m	1.507					-88.115	176.230	-6.128	16.256	3
29	CaspianTern13	Poisson	m	1.594					-28.190	56.380	0.000	2.000	2
30	CaspianTern14	Poisson	m	1.544					-31.510	63.020	-4.979	13.959	3
31	CaspianTern15	Poisson	m	2.183					-507.770	1015.540	-6.714	17.428	3
32	CaspianTern16	Poisson	m	2.178					-605.580	1211.160	-6.743	17.485	3
33	GreatCormorant	Poisson	m	4.382					-73.572	147.144	-7.313	24.626	6
34	DoubleCrestedCormorant1	Poisson	m	3.506					-33.914	67.828	-6.380	20.761	5
35	DoubleCrestedCormorant2	Poisson	m	3.019					-62.412	124.824	-7.609	23.218	5
36	DoubleCrestedCormorant4	Poisson	m	3.726					-25.223	50.446	-4.544	17.088	5
37	DoubleCrestedCormorant7	Poisson	m	2.853					-43.770	87.540	-7.559	23.118	5
38	DoubleCrestedCormorant8	Poisson	m	2.734					-28.787	57.574	-7.191	22.382	5
39	DoubleCrestedCormorant9	Poisson	m	2.654					-20.686	41.372	-7.091	22.182	5
40	DoubleCrestedCormorant10	Poisson	m	2.909					-25.940	51.880	-6.835	21.670	5
41	EaredGrebe	Poisson	m	3.238					-20.915	41.830	-3.113	12.226	4
42	HouseWren1	Poisson	m	6.802					-127.790	255.580	-8.619	33.238	9
43	HouseWren2	Poisson	m	5.925					-116.800	233.600	-8.329	30.658	8
44	HouseWren3	Poisson	m	7.086					-150.100	300.200	-9.498	34.996	9
45	HouseWren4	Poisson	m	5.909					-117.770	235.540	-9.676	33.352	8
46	HouseWren5	Poisson	m	6.889					-167.650	335.300	-7.918	31.835	9
47	HouseWren6	Poisson	m	5.441					-94.766	189.532	-8.765	29.530	7
48	HouseWren7	Poisson	m	6.116					-123.590	247.180	-9.763	33.526	8
49	NorthernHarrier1	Poisson	m	4.389					-14.490	28.980	-7.673	29.345	8
50	PrairieFalcon1	Poisson	m	4.238					-22.047	44.094	-5.332	20.664	6
51	PrairieFalcon2	Poisson	m	4.475					-29.750	59.500	-5.829	21.658	6
52	Redwingblackbird1	Poisson	m	3.376					-81.454	162.908	-5.794	19.587	5
53	Redwingblackbird2	Poisson	m	3.184					-65.432	130.864	-5.644	19.288	5
54	SnowyEgret	Poisson	m	3.858					-79.435	158.870	-5.858	19.716	5
55	CattleEgret	Poisson	m	3.387					-48.843	97.686	-7.631	25.262	6
56	LittleBlueHeron	Poisson	m	4.645					-43.985	87.970	-5.381	20.763	6
57	TricoloredHeron1	Poisson	m	4.127					-29.419	58.838	-4.415	18.830	6
58	TricoloredHeron2	Poisson	m	2.798					-54.604	109.208	-5.570	19.141	5
59	WillowPtarmigan	Poisson	m	10.484					-26.494	52.988	-7.236	38.471	13
60	YellowWarbler1	Poisson	m	4.583					-113.240	226.480	-5.344	20.688	6
61	Redwingblackbird3	Poisson	m	4.099					-116.530	233.060	-6.252	22.505	6
62	YellowWarbler2	Poisson	m	4.431					-32.711	65.422	-2.949	13.898	5
63	YellowWarbler3	Poisson	m	4.427					-54.635	109.270	-2.205	12.411	5
64	YellowWarbler4	Poisson	m	4.385					-52.239	104.478	-3.828	15.656	5
65	YellowWarbler5	Poisson	m	4.501					-49.606	99.212	-3.142	14.285	5
66	YellowWarbler6	Poisson	m	4.400					-69.417	138.834	-3.978	15.957	5
67	YellowWarbler7	Poisson	m	4.335					-90.681	181.362	-4.228	16.457	5
68	YellowWarbler8	Poisson	m	4.352					-120.120	240.240	-4.539	17.077	5
69	YellowWarbler9	Poisson	m	4.433					-156.230	312.460	-5.904	19.808	5
70	YellowWarbler10	Poisson	m	4.309					-103.030	206.060	-4.637	17.274	5
71	YellowWarbler11	Poisson	m	4.542					-178.040	356.080	-5.937	19.873	5
72	BarnSwallow2	Poisson	m	4.244					-23.488	46.976	-5.979	21.958	6
73	BarnSwallow3	Poisson	m	4.532					-25.467	50.934	-7.318	24.637	6
74	BarnSwallow4	Poisson	m	4.814					-27.666	55.332	-5.482	20.964	6
75	WoodStork1	Poisson	m	3.078					-57.969	115.938	-4.752	15.504	4
76	WoodStork2	Poisson	m	2.872					-39.810	79.620	-4.155	16.309	5
77	WoodStork3	Poisson	m	2.445					-49.225	98.450	-3.613	11.226	3
78	WoodStork4	Poisson	m	2.510					-35.867	71.734	-1.970	7.940	3
79	WoodStork5	Poisson	m	2.479					-54.138	108.276	-3.464	10.928	3
