Supplemental Raw Phyla Level table																																												
Species	Unclassified;Other	k__Archaea;p__Crenarchaeota	k__Archaea;p__Euryarchaeota	k__Bacteria;Other	k__Bacteria;p__	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Armatimonadetes	k__Bacteria;p__BRC1	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Chlamydiae	k__Bacteria;p__Chlorobi	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Elusimicrobia	k__Bacteria;p__Fibrobacteres	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__GN02	k__Bacteria;p__Gemmatimonadetes	k__Bacteria;p__Lentisphaerae	k__Bacteria;p__MVP-21	k__Bacteria;p__NKB19	k__Bacteria;p__Nitrospirae	k__Bacteria;p__OD1	k__Bacteria;p__Planctomycetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__SR1	k__Bacteria;p__Spirochaetes	k__Bacteria;p__Synergistetes	k__Bacteria;p__TM6	k__Bacteria;p__TM7	k__Bacteria;p__Tenericutes	k__Bacteria;p__Thermi	k__Bacteria;p__Verrucomicrobia	k__Bacteria;p__WYO								
Baboon1	10	0	8	107	12	6	116	0	0	136	2	0	1	16	0	5	388	8	1	2	1	0	0	0	0	6	152	4	5	0	0	0	2	2	10	0								
Baboon2	37	0	1	126	6	6	143	0	0	83	1	0	7	12	0	0	401	9	0	1	0	0	0	0	0	3	155	0	2	0	0	0	2	1	3	1								
Baboon3	22	0	2	101	8	2	318	0	0	138	0	0	1	12	1	5	253	4	0	1	1	0	1	0	0	4	107	1	7	0	0	0	3	1	7	0								
Baboon4	5	0	0	11	1	2	66	0	0	167	0	0	1	9	0	1	358	46	2	0	0	0	0	0	0	1	317	4	1	0	1	1	2	2	2	0								
Baboon5	19	1	1	54	5	4	151	0	0	182	1	0	3	35	1	3	348	19	0	2	1	0	0	0	0	8	148	1	2	1	0	0	5	0	5	0								
Baboon6	57	2	3	126	8	3	244	0	1	136	0	0	6	23	0	3	214	10	0	1	0	0	0	0	0	11	143	1	1	0	0	0	1	1	4	1								
Baboon7	27	0	4	48	5	1	256	0	2	153	0	0	12	21	0	3	273	6	0	2	0	0	0	2	0	11	159	0	3	0	0	1	0	0	10	1								
Baboon8	17	0	4	57	5	2	85	0	1	117	0	0	2	3	2	1	537	7	0	1	0	0	0	0	0	5	131	0	12	0	0	0	6	0	5	0								
Baboon9	23	1	0	60	6	4	113	0	0	112	0	0	4	15	0	7	508	7	0	1	1	1	0	1	0	8	117	2	1	0	0	0	3	0	5	0								
Baboon10	8	2	2	22	1	6	202	1	0	104	1	0	6	45	1	2	411	6	0	4	3	0	0	1	0	2	157	0	1	0	1	0	3	2	6	0								
Baboon11	21	0	2	81	9	3	224	0	0	73	0	1	3	55	0	1	375	5	0	0	2	0	0	0	0	4	121	1	4	0	1	0	1	3	10	0								
