area,number,latitude,species,Tb,time,date,family
L,15065,-26.38,Agama aculeata,35.2,12:25,11/28/69,Agamdidae
L,15087,-26.38,Agama aculeata,38,16:28,11/28/69,Agamdidae
K,15092,-25.75,Agama aculeata,37.2,10:57,11/29/69,Agamdidae
L,15123,-26.38,Agama aculeata,35.6,17:40,11/28/69,Agamdidae
K,15141,-25.75,Agama aculeata,37,12:50,11/30/69,Agamdidae
K,15144,-25.75,Agama aculeata,38,15:30,11/30/69,Agamdidae
NA,15166,-27.07,Agama aculeata,38.4,14:18,12/02/69,Agamdidae
K,15175,-25.75,Agama aculeata,39,18:35,11/29/69,Agamdidae
NA,15192,-27.07,Agama aculeata,40.4,14:33,12/02/69,Agamdidae
NA,15194,-27.07,Agama aculeata,36.2,14:54,12/02/69,Agamdidae
NA,15233,-26.85,Agama aculeata,37.6,11:00,12/04/69,Agamdidae
NA,15241,-26.8,Agama aculeata,37.8,8:50,12/05/69,Agamdidae
NA,15242,-26.8,Agama aculeata,34.8,8:55,12/05/69,Agamdidae
NA,15252,-26.8,Agama aculeata,33.8,8:30,12/05/69,Agamdidae
NA,15261,-26.8,Agama aculeata,39.3,9:47,12/05/69,Agamdidae
NA,15332,-27.23,Agama aculeata,36,17:02,12/08/69,Agamdidae
NA,15352,-26.55,Agama aculeata,39.6,11:30,12/10/69,Agamdidae
NA,15353,-26.55,Agama aculeata,36,11:35,12/10/69,Agamdidae
L,15383,-26.38,Agama aculeata,38.6,15:17,12/11/69,Agamdidae
K,15433,-25.75,Agama aculeata,36.5,11:41,12/12/69,Agamdidae
K,15434,-25.75,Agama aculeata,36.5,11:52,12/12/69,Agamdidae
K,15435,-25.75,Agama aculeata,38.2,12:03,12/12/69,Agamdidae
K,15449,-25.75,Agama aculeata,37.2,15:25,12/12/69,Agamdidae
K,15465,-25.75,Agama aculeata,36.1,18:46,12/12/69,Agamdidae
B,15528,-27,Agama aculeata,40.4,9:38,12/16/69,Agamdidae
G,15612,-28.22,Agama aculeata,37.8,16:55,12/22/69,Agamdidae
B,15665,-27,Agama aculeata,40.7,14:11,12/28/69,Agamdidae
B,15733,-27,Agama aculeata,39.8,18:15,12/28/69,Agamdidae
M,15760,-26.37,Agama aculeata,37.5,16:45,12/30/69,Agamdidae
A,15813,-27.37,Agama aculeata,33,17:56,01/01/70,Agamdidae
G,15889,-28.22,Agama aculeata,36,11:08,01/04/70,Agamdidae
G,15890,-28.22,Agama aculeata,36.8,13:55,01/04/70,Agamdidae
G,15896,-28.22,Agama aculeata,32.2,18:28,01/04/70,Agamdidae
G,15917,-28.22,Agama aculeata,37.9,17:01,01/04/70,Agamdidae
NA,15933,-27.67,Agama aculeata,39.5,16:43,01/05/70,Agamdidae
NA,15935,-27.67,Agama aculeata,36,17:18,01/05/70,Agamdidae
D,16010,-27.28,Agama aculeata,37.6,8:50,01/09/70,Agamdidae
